time,call,model,prompt,output,thinking,cached,usd
2026-09-18T09:04:28,extract,gemini-3.8-flash,819,1248,0,0,0.005294
2026-09-18T09:04:38,coverage,gemini-3.8-flash,1696,949,2316,0,0.013516
2026-09-18T09:04:40,group:understanding,gemini-3.8-flash,2310,351,0,0,0.003049
2026-09-18T09:04:41,group:commercials,gemini-3.8-flash,2320,705,0,0,0.004384
2026-09-18T09:04:42,group:risk,gemini-3.8-flash,1911,156,0,0,0.002018
2026-09-18T09:08:05,extract,gemini-3.8-flash,36864,7976,0,0,0.057558
2026-09-18T09:08:34,coverage,gemini-3.8-flash,44717,8556,3012,0,0.076918
2026-09-18T09:08:38,group:risk,gemini-3.8-flash,46608,199,0,0,0.035702
2026-09-18T09:08:40,group:commercials,gemini-3.8-flash,48232,576,0,0,0.038334
2026-09-18T09:08:41,group:understanding,gemini-3.8-flash,83052,583,0,0,0.064475
2026-09-18T09:08:43,extract,gemini-3.8-flash,819,1282,0,0,0.005422
2026-09-18T09:08:58,coverage,gemini-3.8-flash,1736,862,2481,0,0.013838
2026-09-18T09:09:01,group:risk,gemini-3.8-flash,1918,157,0,0,0.002027
2026-09-18T09:09:02,group:commercials,gemini-3.8-flash,2259,826,0,0,0.004792
2026-09-18T09:09:02,group:understanding,gemini-3.8-flash,2317,420,0,0,0.003313
2026-09-18T09:10:22,extract,gemini-3.8-flash,819,844,6975,0,0.029936
2026-09-18T11:12:00,extract,gemini-3.8-flash,10936,3072,0,0,0.019722
2026-09-18T11:12:21,coverage,gemini-3.8-flash,46915,2194,5332,0,0.063409
2026-09-18T11:12:26,group:risk,gemini-3.8-flash,47328,236,0,0,0.036381
2026-09-18T11:12:29,group:commercials,gemini-3.8-flash,48230,820,0,0,0.039247
2026-09-18T11:12:36,group:understanding,gemini-3.8-flash,57844,468,0,0,0.045138
2026-09-18T11:13:06,coverage,gemini-3.8-flash,60745,2399,7693,0,0.083404
2026-09-18T11:13:09,group:risk,gemini-3.8-flash,61218,265,0,0,0.046907
2026-09-18T11:13:11,group:commercials,gemini-3.8-flash,63365,855,0,0,0.050730
2026-09-18T11:13:19,group:understanding,gemini-3.8-flash,71734,604,2048,0,0.063745
2026-09-18T11:13:28,coverage,gemini-3.8-flash,14952,2945,0,0,0.022258
2026-09-18T11:13:31,group:understanding,gemini-3.8-flash,26204,515,0,0,0.021584
2026-09-18T11:13:31,group:risk,gemini-3.8-flash,15688,366,0,0,0.013138
2026-09-18T11:13:32,group:commercials,gemini-3.8-flash,16874,752,0,0,0.015475
2026-09-18T11:13:43,extract,gemini-3.8-flash,10983,4019,0,0,0.023308
2026-09-18T11:14:14,coverage,gemini-3.8-flash,8442,2798,6804,0,0.042339
2026-09-18T11:14:20,group:understanding,gemini-3.8-flash,19599,511,0,0,0.016615
2026-09-18T11:14:20,group:risk,gemini-3.8-flash,9036,167,0,0,0.007403
2026-09-18T11:14:30,group:commercials,gemini-3.8-flash,9629,685,0,0,0.009791
2026-09-18T11:14:42,extract,gemini-3.8-flash,13193,4142,0,0,0.025427
2026-09-18T11:15:07,coverage,gemini-3.8-flash,19203,1611,8067,0,0.050695
2026-09-18T11:15:10,group:risk,gemini-3.8-flash,19765,250,0,0,0.015761
2026-09-18T11:15:10,group:understanding,gemini-3.8-flash,32538,389,0,0,0.025862
2026-09-18T11:15:21,group:commercials,gemini-3.8-flash,20493,623,0,0,0.017706
2026-09-18T11:15:48,coverage,gemini-3.8-flash,20687,2763,6340,0,0.049652
2026-09-18T11:15:51,group:risk,gemini-3.8-flash,21227,229,0,0,0.016779
2026-09-18T11:15:52,group:commercials,gemini-3.8-flash,22152,783,0,0,0.019550
2026-09-18T11:15:57,group:understanding,gemini-3.8-flash,34000,562,0,0,0.027608
2026-09-18T11:16:22,coverage,gemini-3.8-flash,31277,2832,6322,0,0.057785
2026-09-18T11:16:26,group:understanding,gemini-3.8-flash,44636,524,0,0,0.035442
2026-09-18T11:16:26,group:risk,gemini-3.8-flash,31863,234,0,0,0.024775
2026-09-18T11:16:28,group:commercials,gemini-3.8-flash,32934,981,0,0,0.028379
2026-09-18T11:17:11,coverage,gemini-3.8-flash,16062,3243,9047,0,0.058134
2026-09-18T11:17:16,group:commercials,gemini-3.8-flash,17405,722,0,0,0.015761
2026-09-18T11:17:19,group:understanding,gemini-3.8-flash,29555,405,0,0,0.023685
2026-09-18T11:17:23,group:risk,gemini-3.8-flash,16782,196,0,0,0.013322
2026-09-18T09:18:25,extract,gemini-3.8-flash,819,1287,0,0,0.005441
2026-09-18T09:19:23,extract,gemini-3.8-flash,819,1208,722,0,0.007852
2026-09-18T09:19:39,coverage,gemini-3.8-flash,1730,891,3082,0,0.016196
2026-09-18T09:19:43,group:commercials,gemini-3.8-flash,2185,829,0,0,0.004747
2026-09-18T09:19:43,group:understanding,gemini-3.8-flash,2336,393,0,0,0.003226
2026-09-18T09:19:45,group:risk,gemini-3.8-flash,1937,309,0,0,0.002612
2026-09-18T09:22:13,extract,gemini-3.8-flash,10936,4589,0,0,0.025411
2026-09-18T09:23:20,coverage,gemini-3.8-flash,31344,4257,19757,0,0.113560
2026-09-18T09:23:23,group:risk,gemini-3.8-flash,16541,344,0,0,0.013696
2026-09-18T09:23:24,group:understanding,gemini-3.8-flash,27057,587,0,0,0.022494
2026-09-18T09:23:26,group:commercials,gemini-3.8-flash,17727,736,0,0,0.016055
2026-09-18T09:36:35,extract,gemini-3.8-flash,819,1273,3010,0,0.016675
2026-09-18T09:36:45,coverage,gemini-3.8-flash,1781,965,1966,0,0.012327
2026-09-18T09:36:47,group:risk,gemini-3.8-flash,2003,347,0,0,0.002804
2026-09-18T09:36:47,group:understanding,gemini-3.8-flash,2402,397,0,0,0.003290
2026-09-18T09:36:48,group:commercials,gemini-3.8-flash,2251,761,0,0,0.004542
2026-09-18T09:39:00,extract,gemini-3.8-flash,819,1231,0,0,0.005230
2026-09-18T09:39:07,extract,gemini-3.8-flash,819,1282,0,0,0.005422
2026-09-18T09:39:31,extract,gemini-3.8-flash,819,1260,0,0,0.005339
2026-09-18T09:40:20,coverage,gemini-3.8-flash,1762,913,15003,0,0.061006
2026-09-18T09:40:23,group:understanding,gemini-3.8-flash,2368,402,0,0,0.003283
2026-09-18T09:40:23,group:commercials,gemini-3.8-flash,2217,796,0,0,0.004648
2026-09-18T09:40:27,group:risk,gemini-3.8-flash,1969,284,0,0,0.002542
2026-09-18T09:46:00,extract,gemini-3.8-flash,819,1276,0,0,0.005399
2026-09-18T09:46:09,coverage,gemini-3.8-flash,2061,607,2334,0,0.012575
2026-09-18T09:46:11,group:risk,gemini-3.8-flash,2169,227,0,0,0.002478
2026-09-18T09:46:12,group:understanding,gemini-3.8-flash,2568,386,0,0,0.003374
2026-09-18T09:46:34,group:commercials,gemini-3.8-flash,2510,614,0,0,0.004185
2026-09-18T09:55:51,extract,gemini-3.8-flash,819,1222,604,0,0.007462
2026-09-18T09:56:01,coverage,gemini-3.8-flash,1694,753,2331,0,0.012835
2026-09-18T09:56:03,group:risk,gemini-3.8-flash,1846,160,0,0,0.001985
2026-09-18T09:56:04,group:commercials,gemini-3.8-flash,2187,724,0,0,0.004355
2026-09-18T09:56:05,group:understanding,gemini-3.8-flash,2245,418,0,0,0.003251
2026-09-18T12:09:21,extract,gemini-3.8-flash,819,1254,0,0,0.005317
2026-09-18T12:09:44,coverage,gemini-3.8-flash,1759,946,7203,0,0.031878
2026-09-18T12:09:46,group:risk,gemini-3.8-flash,1977,323,0,0,0.002694
2026-09-18T12:09:48,group:commercials,gemini-3.8-flash,2229,720,0,0,0.004372
2026-09-18T12:09:48,group:understanding,gemini-3.8-flash,2376,381,0,0,0.003211
